Exporters,Importers,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016
Germany,"Moldova, Republic of",506372,502800,512915,468384,332034
Germany,Sri Lanka,316020,312048,340402,295520,321145
Germany,"Macao, China",72035,76954,221730,113426,304852
Germany,Ghana,386846,396299,418130,354152,295962
Germany,Cuba,216144,234025,246036,254930,285791
Germany,Guatemala,284016,261077,275310,278812,268393
Germany,Costa Rica,262944,233788,223116,238015,239897
Germany,Dominican Republic,235659,231425,256151,223521,234837
Germany,Albania,225420,232798,189978,213076,225688
Germany,El Salvador,104170,382016,240481,322592,207030
Germany,Area Nes,0,0,4686,24252,203892
Germany,Sudan (Sudan and South Sudan),436501,213046,314145,216832,202770
Germany,"Bolivia, Plurinational State of",119163,133289,162103,173755,176439
Germany,Cameroon,175464,168772,206398,184388,171923
Germany,Côte d'Ivoire,138467,189692,198908,194911,171899
Germany,Armenia,175662,187163,179284,178868,171042
Germany,Nepal,23204,27544,42792,39000,168618
Germany,Brunei Darussalam,481671,66049,73584,177536,166758
Germany,"Congo, Democratic Republic of the",160544,170570,214618,172388,164555
Germany,Myanmar,59601,136413,167847,175444,164084
Germany,Paraguay,164529,162545,164895,168576,163049
Germany,Yemen,130587,168182,328851,276150,160786
Germany,Honduras,166499,178126,156145,168397,157080
Germany,Congo,82334,87555,105511,127342,154174
Germany,Mozambique,80624,82783,123460,125233,137594
Germany,Cambodia,44405,58142,75705,97175,134593
Germany,"Tanzania, United Republic of",185754,225191,192452,228712,133873
Germany,Mali,113457,107416,144774,136868,133558
Germany,Trinidad and Tobago,133536,165618,148315,157712,133127
Germany,Senegal,111769,101437,105803,134333,114591
Germany,Mongolia,205070,195976,233444,158417,104827
Germany,Mauritius,140529,125013,124282,121706,100512
Germany,Namibia,222893,172569,221978,160018,99851
Germany,Guinea,34195,71662,43161,38943,98366
Germany,Mauritania,169957,222008,143635,138429,94775
Germany,Uganda,141863,123240,96822,128384,90875
Germany,Afghanistan,395823,374136,217766,153319,89588
Germany,Montenegro,89264,94127,101922,105495,86991
Germany,Botswana,31363,59655,43948,75942,83293
Germany,Benin,116252,101280,123699,104356,75419
Germany,Syrian Arab Republic,770305,278123,98055,91304,69796
Germany,"Palestine, State of",51377,64864,71185,70487,69537
Germany,Nicaragua,35604,39776,52161,82068,67367
Germany,Zambia,63598,114669,204606,105339,65817
Germany,New Caledonia,70525,63847,60590,68329,62216
Germany,Togo,78993,60729,89763,77604,61055
Germany,Gabon,112380,107370,121825,107320,60975
Germany,Bhutan,9185,3795,2836,4737,60282
Germany,Jamaica,46122,52026,57269,51183,59606
Germany,Kyrgyzstan,96329,130579,120403,113624,59564
Germany,Burkina Faso,55667,79175,62807,73462,52015
Germany,Zimbabwe,69130,74430,51046,42476,50884
Germany,Tajikistan,35443,37151,47590,59635,49571
Germany,Faroe Islands,19155,96087,41353,53012,45829
Germany,Lao People's Democratic Republic,38394,154164,52842,115046,45758
Germany,Bahamas,77015,193586,112260,35184,45303
Germany,Madagascar,43918,44239,51995,57944,40867
Germany,Rwanda,31903,43406,42970,38663,40468
Germany,Netherlands Antilles,39458,37372,30237,25170,37885
Germany,Andorra,48317,39304,42817,52893,37601
Germany,Maldives,24822,29383,26382,36659,36706
Germany,Papua New Guinea,45833,88800,35666,38828,35960
Germany,Niger,31124,33851,41700,42335,35538
Germany,Haiti,22138,12573,25579,25737,34496
Germany,Suriname,29863,30252,46785,39045,31234
Germany,Sierra Leone,46113,51079,30542,32282,31091
Germany,Equatorial Guinea,50630,44890,33981,26154,30015
Germany,French Polynesia,28027,28978,32766,29152,29537
Germany,Africa not elsewhere specified,10159,9159,8557,9437,22687
Germany,Gibraltar,139145,117823,198562,61743,22290
Germany,Malawi,22796,27878,36264,16665,22271
Germany,Barbados,37175,15237,17972,19528,20730
Germany,Djibouti,10032,13488,23021,10911,20700
Germany,Chad,16755,25040,21520,47085,19802
Germany,Antigua and Barbuda,5474,9353,28445,13155,17395
Germany,Somalia,2754,2436,5192,7163,16709
Germany,Eritrea,33679,34716,40134,25788,16257
Germany,Seychelles,14391,16110,34567,16141,15973
Germany,Belize,27453,173363,26104,34682,15459
Germany,Cayman Islands,154827,54564,329023,228356,14213
