Exporters,Importers,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016
USA,Chad,36552,41461,66500,56532,32879
USA,Maldives,30052,28779,28986,35187,31060
USA,Lao People's Democratic Republic,33494,24400,28485,24584,30878
USA,Bosnia and Herzegovina,15870,38481,46080,27548,29782
USA,Zimbabwe,53478,60526,48699,36467,28974
USA,Samoa,24703,28395,22949,22693,27937
USA,Palau,16756,18238,20521,25744,25684
USA,Swaziland,40227,22675,25718,28629,25622
USA,Tajikistan,54187,51874,24503,18764,21417
USA,Kyrgyzstan,145494,106251,71678,31649,19878
USA,Montenegro,12397,21684,18179,11134,16711
USA,Tonga,26893,19239,20032,13802,15152
USA,"Moldova, Republic of",38268,45603,35269,16255,15089
USA,Seychelles,14969,12190,12688,18544,12432
USA,Solomon Islands,7255,8934,6599,5861,9898
USA,Montserrat,8566,8617,9182,6643,9485
USA,Central African Republic,8516,4103,32322,33925,9456
USA,Cabo Verde,7765,9134,7284,7303,8711
USA,Burundi,19940,16711,5599,5854,8407
USA,Vanuatu,99516,34439,21186,5868,7851
USA,British Indian Ocean Territories,2725,762,2099,581,5826
USA,French South Antarctic Territories,1239,1750,8252,8027,4912
USA,Cook Islands,5504,4869,5486,4250,4650
USA,Greenland,15857,19148,12714,9483,4053
USA,Guinea-Bissau,21095,6644,2904,2205,3663
USA,Syrian Arab Republic,19471,21642,6794,3363,3653
USA,Eritrea,5864,13476,5328,3498,3048
USA,Andorra,2238,5797,3789,3410,2830
USA,Faroe Islands,1627,2454,2361,2337,2582
USA,Tokelau,13422,828,1346,341,2411
USA,Lesotho,16514,571,2450,882,2088
USA,Sao Tome and Principe,870,1998,1088,854,1994
USA,Bhutan,2489,2351,2422,2641,1976
USA,Area Nes,175000,179871,102,0,1731
USA,Timor-Leste,1143,1365,1287,2691,1617
USA,Falkland Islands (Malvinas),4347,1241,7846,2918,1485
USA,Comoros,954,3491,3453,1507,1350
USA,"Palestine, State of",1627,1073,1924,1087,1296
USA,Kiribati,4606,6984,3294,7321,1149
USA,Christmas Islands,4054,467,169,1551,1143
USA,Tuvalu,612,560,592,626,1140
USA,Cocos (Keeling) Islands,933,22169,6041,558,779
USA,Saint Helena,4848,2867,490,3720,746
USA,Nauru,2209,759,812,1734,495
USA,Wallis and Futuna Islands,602,638,350,377,225
USA,"Korea, Democratic People's Republic of",11952,6583,24029,4752,139
USA,Norfolk Island,1228,1731,830,350,122
USA,Western Sahara,59,156,277,32,94
USA,Niue,772,249,112,71,76
USA,St. Pierre and Miquelon,180,262,4,227,62
USA,Pitcairn,41,0,56,17,52
USA,Mayotte,11610,8520,0,0,0
France,World,558460545,567987698,566656165,493941214,488751441
France,Germany,92316938,93524554,93804335,79145560,78882197
France,Spain,37799117,38591336,40237402,36022036,36649161
France,USA,34123265,35765163,36382467,36216033,36146007
France,Italy,41250069,40407822,40954491,35348278,35727551
France,UK,37689540,39093103,40208880,35002774,34790108
France,Belgium,40969186,43628179,41272866,33602850,33155175
France,Netherlands,23688786,23388044,23198882,19252838,17676489
France,China,19383272,19572699,21469260,19909795,17659690
France,Switzerland,17636549,17360709,17202851,15334471,16918360
France,Poland,8526181,8944819,9417151,8563113,9077451
France,Turkey,8874382,8319703,7958889,7866835,7745555
France,Japan,9506511,9026263,9055749,6974269,6904715
France,Singapore,7538100,7202281,6686279,5930613,6779681
France,"Hong Kong, China",7677575,6391469,5844723,5033018,5967862
France,Algeria,8161644,7843394,8175042,6891472,5622305
France,Sweden,6533884,6182776,6575828,5772978,5594191
France,Russian Federation,11722313,10199853,8964064,5002265,5408556
France,Portugal,4646112,5339372,5408533,4700041,5052766
France,Brazil,5951755,6297151,5704801,5329449,4765910
France,Morocco,5179012,5120289,5016704,4171980,4734348
France,Saudi Arabia,4140106,4532922,3917257,3489639,4557680
France,Czech Republic,4158693,4513474,4702728,4124794,4431052
France,India,4188635,3602607,3585144,3523264,4326687
France,"Korea, Republic of",4729448,5632540,6575541,5342651,4278816
France,Mexico,2783259,3252411,3361729,3556113,4095582
France,Austria,4742419,4796249,4762434,3876005,4052510
France,Romania,3908851,4444368,4555779,3760663,4020238
France,United Arab Emirates,4529327,5333113,5446019,4262119,3995816
France,Tunisia,4646161,4916785,4454019,3982277,3581267
France,Hungary,3599439,3815727,4343278,3935687,3509344
France,Canada,3730957,3901895,3901055,3568237,3346201
France,Ireland,2875343,3219501,3033426,2892213,3184816
France,Indonesia,1718388,2133936,2205676,2452332,3013125
France,Denmark,3211578,3273499,3214318,2781971,2894226
France,Slovakia,2619027,2797528,2956876,2735939,2816027
France,Australia,3856439,3677597,3416552,2613093,2467591
France,Greece,2890466,3005461,2800480,2299947,2290713
France,"Taipei, Chinese",2460998,2197857,2124381,2075492,2243029
France,Luxembourg,2615568,2763275,3221807,2182814,2212056
France,Finland,2073248,2024839,1908376,2122743,2200080
France,South Africa,2420712,2370855,2585209,2001178,1997680
France,Qatar,996456,978246,1919759,3027170,1988900
France,Thailand,2734242,3179307,1822958,1921280,1931190
France,Malaysia,3874970,3436628,3171991,1573540,1703593
France,Egypt,2212796,1789406,2097346,2341412,1699330
France,Norway,2152995,1966693,2128296,1647555,1645929
France,Viet Nam,788820,934117,1014998,1571178,1634559
France,Israel,1487452,1598649,1544401,1480749,1493476
France,Nigeria,1730766,2019347,2018083,1438223,1288645
France,Argentina,1459875,1643045,1187666,1435361,1260330
France,Côte d'Ivoire,1285430,1360679,1414142,1227229,1188691
France,Lebanon,1741495,1704012,1479601,1106524,982778
France,Philippines,1265569,1937893,2516884,930636,898888
France,New Caledonia,952992,994290,982143,835237,867831
France,Bulgaria,873145,914577,958294,845719,839193
France,Senegal,1064503,937490,968080,850115,838660
France,Slovenia,1131951,1021373,1036449,808393,817835
France,Ukraine,1359689,1272479,1025972,651865,797727
France,"Iran, Islamic Republic of",1032601,655380,601703,623413,795017
France,Chile,1028399,1009671,885673,726890,785722
France,Area Nes,1321316,701580,643023,884927,771961
France,Cameroon,864231,939382,868854,714612,699589
France,Colombia,1085749,1400148,1304242,930713,695377
France,Pakistan,591095,516552,576471,428366,612736
France,French Polynesia,582740,608475,648401,571052,591493
France,New Zealand,437666,588527,659584,777411,591110
France,Congo,757352,770845,844285,726252,576008
France,Lithuania,610851,675145,614088,496836,565947
France,Gabon,989359,966801,902350,598245,519067
France,Kazakhstan,622110,898684,884782,1042803,503159
France,Ethiopia,104197,238315,132342,252954,482247
France,Serbia,364424,388191,416904,414010,482039
France,Croatia,468007,444409,407543,403640,447123
France,Malta,518366,805717,408697,397598,435238
France,Kuwait,491298,1139507,664435,1234893,412367
France,Mali,387762,407183,464113,372107,405686
France,Mauritius,443046,444673,441990,381406,386839
France,Jordan,442728,506763,383669,344686,374731
France,Madagascar,383471,393470,386358,362289,355728
France,Peru,302739,272759,268279,278308,349606
France,Iraq,938210,664458,553263,473750,348251
France,Oman,436298,594603,664237,514852,344981
France,Togo,471412,528304,969512,632962,327616
France,Panama,1122561,1084246,391955,401663,319441
France,Ghana,424937,412686,263121,519813,305066
France,Estonia,424242,403842,339882,271536,301605
France,Latvia,346176,378191,386704,306089,299181
France,Angola,699385,612258,1022093,673255,284489
France,Cyprus,553807,475588,603192,284753,271597
France,"Congo, Democratic Republic of the",275393,299453,208879,270201,260883
France,Rwanda,20728,18574,22750,23352,259700
France,Andorra,276001,271731,279140,243264,258700
France,Burkina Faso,337559,440884,357455,287287,257763
France,Benin,344028,357393,350190,283968,237254
France,"Venezuela, Bolivarian Republic of",621104,632880,544880,312224,236483
France,Bangladesh,132846,176965,200934,320472,208418
France,"Libya, State of",694343,1063804,346478,764199,194528
France,Kenya,302969,210591,196328,209377,169273
France,Mauritania,296471,293466,278558,199986,163588
France,Dominican Republic,128180,117869,136078,150142,159563
France,Guinea,189806,172903,168167,148123,159296
France,Mozambique,107749,80094,147673,156350,158597
France,"Macao, China",140596,158496,198606,154326,153508
France,Cambodia,79727,82069,91537,97995,152786
France,Niger,206189,227217,250819,198322,142664
France,Azerbaijan,212133,353452,276742,193984,141915
France,Cuba,282897,325721,208448,162826,141891
France,"Tanzania, United Republic of",168512,111538,63928,177700,141477
France,Uruguay,248183,275146,244461,176418,141371
France,Georgia,128674,207229,144288,133097,138489
France,Bahrain,865704,183960,312603,144449,137979
France,Myanmar,24797,76021,125982,147961,135184
France,Ecuador,210439,126729,152577,160920,131175
France,France,0,71870,0,94601,127315
France,Chad,160919,159296,165847,145066,121501
France,Belarus,219117,246465,239524,168402,119672
France,Turkmenistan,226255,161236,245833,99629,110547
France,Yemen,265268,338923,361516,120996,107142
France,Uzbekistan,87498,155929,136574,118643,105891
France,Bosnia and Herzegovina,98705,93261,120775,88999,102200
France,Iceland,81905,71282,84680,80099,101638
France,Sri Lanka,164951,111330,396460,972772,100225
France,Marshall Islands,1102,2387,30365,28717,96775
France,Djibouti,83487,85394,93019,95950,94918
France,Bahamas,81039,49222,39952,75464,94811
France,Sudan (Sudan and South Sudan),96993,124958,107233,100945,94337
France,"Macedonia, The Former Yugoslav Republic of",50288,58544,66334,78563,78223
France,Papua New Guinea,22561,18743,6555,50060,72988
France,"Bolivia, Plurinational State of",34855,48464,107813,61445,67890
France,Seychelles,65834,90747,60336,53041,67401
France,Costa Rica,50796,56530,56317,59909,66362
France,Guatemala,77091,98855,157946,87172,62245
France,Paraguay,61697,78696,87943,87841,61451
France,Uganda,87689,115071,86129,58182,52823
France,British Virgin Islands,38074,38933,77452,71741,51016
France,Albania,32110,49153,46143,43917,49249
France,Haiti,49085,54011,63523,48700,48212
France,Netherlands Antilles,50499,44726,46283,57661,47962
France,Equatorial Guinea,166843,155925,137391,84962,47582
France,"Moldova, Republic of",60114,80029,63372,55082,46495
France,Comoros,31751,39435,37845,37033,44843
France,Sierra Leone,45541,39838,41870,15184,42560
France,Central African Republic,47913,35432,35449,49603,42180
France,Cabo Verde,13270,12476,14607,14747,40696
France,Armenia,51318,50172,64257,44304,39354
France,Trinidad and Tobago,105562,195932,74498,45592,33310
France,Syrian Arab Republic,159645,211950,78417,56618,32894
France,St. Pierre and Miquelon,32076,38394,41174,31873,32203
France,Botswana,11025,11527,7488,13819,30652
France,El Salvador,82166,40909,34179,28359,27218
France,Antigua and Barbuda,5193,97384,55312,27011,27052
France,Vanuatu,6781,10587,8998,7208,26021
France,Jamaica,21632,22503,22462,15428,24793
France,Barbados,26084,26363,29731,26502,24200
France,Burundi,19892,18449,19483,18802,24073
France,Liberia,30471,28506,26411,21815,24070
France,Nepal,23485,9246,21933,18199,23821
France,Afghanistan,57339,32604,22606,24132,23434
France,Brunei Darussalam,16592,14053,6728,78920,22186
France,Zambia,51484,27453,39092,31105,21446
France,Maldives,16807,54929,21807,21985,20956
France,Zimbabwe,26909,27491,19550,22582,18957
France,Malawi,51260,62075,59099,3010,18726
France,Cayman Islands,53709,33130,23486,22504,18528
France,Kyrgyzstan,23374,25472,25580,19242,18233
France,Honduras,21351,20853,46008,23534,18041
France,"Palestine, State of",13210,14871,16045,22689,17179
France,Montenegro,64754,26434,34983,21491,16341
France,Tajikistan,6635,15409,12617,13793,15967
France,Wallis and Futuna Islands,13663,17133,15774,13032,13355
France,Lao People's Democratic Republic,39584,35659,60397,11835,11873
France,Somalia,13062,16967,17054,14314,11862
France,Saint Vincent and the Grenadines,3540,5369,21791,3398,11366
France,Nicaragua,12641,13710,66670,23665,11277
France,Guam,0,0,0,0,11052
France,Saint Lucia,6340,6520,7494,7087,10983
France,Suriname,24528,55877,12505,29184,10528
France,United States Minor Outlying Islands,21302,17443,18023,13687,10392
France,Mongolia,48746,42166,23844,16515,10327
France,Aruba,16339,42287,21477,9736,9997
France,Namibia,31207,248412,26981,11938,9688
France,Gambia,9444,14498,25049,15236,9384
France,Fiji,7959,401397,61650,145123,9316
France,Bermuda,33850,5558,5265,5714,8202
France,French South Antarctic Territories,7514,10602,9719,9419,6816
France,Guinea-Bissau,8201,7499,12405,7298,5444
France,Dominica,6743,3729,5072,5860,3855
France,Guyana,12184,10077,6066,3490,3534
France,Swaziland,2174,2571,2508,4006,3524
France,Eritrea,3932,3293,3957,2666,3225
France,Northern Mariana Islands,2748,2953,3017,3995,3008
France,Grenada,1796,2798,1565,2541,2921
France,"Korea, Democratic People's Republic of",2268,1432,940,3346,2202
France,Turks and Caicos Islands,1588,1979,2545,7004,1995
France,Faroe Islands,1942,1188,2531,1774,1872
France,Anguilla,7084,564,2261,377,1676
France,Belize,5810,2417,5109,1146,1440
France,Sao Tome and Principe,2200,722,1096,785,1335
France,"Micronesia, Federated States of",299,162,41,495,1046
France,Saint Kitts and Nevis,788,1657,978,950,1012
France,Ship stores and bunkers,0,0,0,0,1009
France,Greenland,1666,3329,1192,1117,950
France,Bhutan,2680,638,441,321,622
France,Falkland Islands (Malvinas),166,44,136,24,596
France,Lesotho,1277,377,303,268,569
France,Montserrat,43,96,265,1229,522
France,Cook Islands,3685,150,40,19,391
France,Timor-Leste,417,242,483,165,374
France,Pitcairn,64,0,185,0,330
France,Solomon Islands,194,186,551,425,327
France,Samoa,366,31,1697,197,308
France,Tokelau,333,69,1056,125,157
France,Palau,0,55,9,12,97
France,Nauru,63,10,420,405,44
France,Saint Helena,50,63,254,311,40
France,Tonga,47,2499,344,115,36
France,Kiribati,0,29,27,1153,31
France,Western Sahara,0,0,0,0,23
France,Cocos (Keeling) Islands,0,406,5,20,20
France,Tuvalu,0,0,0,0,10
France,Norfolk Island,0,0,3,0,7
France,British Indian Ocean Territories,0,38,73,57,0
France,Christmas Islands,30,58,0,19,0
France,Gibraltar,556427,521579,346447,186883,0
France,Africa not elsewhere specified,33480,5441,23831,6037,0
France,Mayotte,250118,287677,0,0,0
